Player,Rating,KFactor,NumGames
10712,2407,10,30
10713,2074,15,30
10722,2066,15,30
10723,2248,15,30
10725,2296,15,30
10729,2263,15,30
10738,2425,10,30
10743,2252,25,23
10745,2273,15,30
10753,2069,15,30
10757,2397,10,30
10762,2638,10,30
10770,2148,15,30
10778,2122,15,30
10781,2210,15,30
10784,2218,15,30
10786,2312,15,30
10792,2148,15,30
10795,2266,15,30
10802,2226,15,30
10805,2042,25,23
10806,2242,15,30
10811,2270,15,30
10815,2348,10,30
10817,2210,15,30
10821,2394,10,30
10822,2158,15,30
10825,2246,15,30
10830,2326,10,30
10841,2244,15,30
10844,2097,25,15
10845,2335,15,30
10847,2308,15,30
10852,2296,15,30
10854,2064,15,30
10858,2185,25,10
10862,2483,10,30
10863,2213,15,30
10868,2335,15,30
10870,2205,15,30
10882,2205,25,25
10888,2411,10,30
10890,2074,15,30
10900,2095,15,30
10909,2461,10,30
10912,2209,15,30
10916,2072,15,30
10924,2133,15,30
10925,2097,15,30
10928,2190,15,30
10929,2255,15,30
10930,2231,15,30
10933,2097,25,21
10935,2225,25,10
10937,2039,15,30
10938,2242,15,30
10950,2285,15,30
10957,2418,10,30
10959,2717,10,30
10960,2081,25,14
10963,2277,25,22
10969,2183,15,30
10980,2455,10,30
10981,2376,10,30
10985,2089,15,30
10990,2268,15,30
10993,2148,15,30
10997,2258,15,30
10998,2117,15,30
11001,2332,15,30
11006,2364,15,30
11016,2305,15,30
11018,2023,15,30
11020,2044,15,30
11021,2457,10,30
11027,2060,25,26
11032,2258,15,30
11033,2107,15,30
11036,2292,15,30
11037,2136,25,25
11041,2326,10,30
11042,2288,15,30
11047,2208,25,10
11056,2232,15,30
11063,2017,15,30
11068,2422,10,30
11069,2236,15,30
11072,2241,15,30
11075,2139,25,11
11083,2020,15,30
11084,2121,15,30
11085,2068,25,12
11090,2236,15,30
11091,2220,15,30
11092,2193,15,30
11094,2444,10,30
11097,2231,15,30
11108,2233,15,30
11110,2372,10,30
11114,2231,15,30
11124,2073,15,30
11125,2187,25,19
11134,2062,15,30
11137,2198,15,30
11140,2476,10,30
11144,2257,15,30
11151,2170,15,30
11164,2386,10,30
11167,2155,15,30
11169,2071,15,30
11173,2062,15,30
11184,2167,15,30
11188,2283,15,30
11191,2101,15,30
11199,2402,10,30
11213,2141,15,30
11217,2049,15,30
11220,2074,25,14
11225,2260,15,30
11231,2305,15,30
11234,2387,10,30
11242,2525,10,30
11244,2053,15,30
11247,2358,15,30
11253,2256,15,30
11256,2118,15,30
11257,2052,15,30
11261,2145,25,26
11264,2193,15,30
11270,2360,15,30
11271,2054,25,24
11272,2331,15,30
11282,2295,15,30
11283,2187,15,30
11284,2170,25,20
11286,2047,15,30
11287,2206,15,30
11288,2390,10,30
11296,2223,15,30
11298,2377,10,30
11301,2154,15,30
11311,2292,15,30
11333,2153,25,10
11350,2238,15,30
11354,2219,15,30
11355,2389,10,30
11357,2230,15,30
11365,2137,25,19
11367,2202,15,30
11372,2219,15,30
11378,2215,15,30
11384,2247,15,30
11385,2235,15,30
11388,2078,15,30
11390,2195,15,30
11394,2108,25,27
11398,2237,10,30
11399,2296,25,13
11400,2392,15,30
11402,2122,15,30
11405,2377,15,30
11410,2253,25,24
11414,2054,25,14
11417,2375,15,30
11419,2166,25,17
11423,2332,10,30
11425,2106,25,18
11427,2226,15,30
11430,2097,25,13
11441,2435,10,30
11449,2189,25,15
11452,2043,25,12
11455,2274,25,23
11459,2253,15,30
11461,2372,25,23
11462,2249,25,25
11466,2413,10,30
11473,2361,15,30
11474,2199,25,13
11479,2262,15,30
11484,2063,15,30
11492,2074,15,30
11495,2110,15,30
11501,2532,10,30
11510,2194,25,28
11512,2115,25,10
11515,2143,15,30
11519,2155,15,30
11523,2284,10,30
11525,2302,15,30
11531,2086,15,30
11532,2390,10,30
11533,2517,10,30
11541,2102,15,30
11544,2376,15,30
11546,2195,15,30
11548,2178,15,30
11549,2202,25,17
11558,2124,15,30
11560,2102,25,22
11562,2114,15,30
11569,2195,15,30
11572,2105,15,30
11574,2204,15,30
11581,2526,10,30
11590,2273,25,16
11598,2180,25,24
11616,2357,10,30
11620,2386,15,30
11626,2386,15,30
11630,2616,10,30
11631,2421,10,30
11635,2466,10,30
11642,2294,15,30
11646,2332,25,17
11647,2180,25,21
11658,2068,15,30
11661,2338,10,30
11665,2127,15,30
11666,2219,25,28
11668,2230,15,30
11675,2280,15,30
11678,2312,15,30
11691,2316,10,30
11703,2465,10,30
11709,2347,25,19
11716,2187,15,30
11717,2188,15,30
11720,2104,25,16
11721,2331,15,30
11727,2095,15,30
11734,2231,15,30
11740,2228,15,30
11742,2207,15,30
11744,2322,15,30
11746,2091,25,12
11749,2344,15,30
11754,2245,15,30
11758,2423,10,30
11764,2194,15,30
11769,2220,25,25
11772,2327,15,30
11774,2084,15,30
11784,2056,25,29
11793,2253,15,30
11794,2342,15,30
11796,2141,15,30
11805,2382,10,30
11812,2219,15,30
11819,2179,25,17
11822,2099,15,30
11823,2255,15,30
11831,2159,15,30
11834,2161,25,27
11836,2067,15,30
11837,2168,25,15
11848,2261,25,10
11865,2311,15,30
11869,2428,10,30
11871,2110,15,30
11877,2391,10,30
11884,2159,15,30
11894,2142,15,30
11904,2277,15,30
11916,2428,10,30
11920,2366,15,30
11927,2184,15,30
11937,2118,15,30
11940,2477,10,30
11943,2118,25,21
11944,2272,15,30
11958,2285,15,30
11959,2204,25,19
11977,2165,15,30
11978,2109,15,30
11980,2144,15,30
11984,2246,15,30
11993,2209,15,30
11996,2178,15,30
11997,2377,10,30
12009,2291,15,30
12012,2096,25,16
12013,2224,15,30
12023,2244,15,30
12032,2140,15,30
12037,2224,25,22
12047,2267,15,30
12049,2184,25,14
12053,2345,15,30
12055,2293,25,13
12057,2377,15,30
12058,2051,25,10
12063,2283,15,30
12067,2193,15,30
12068,2219,15,30
12070,2244,25,10
12071,2389,10,30
12078,2097,15,30
12082,2144,15,30
12089,2189,15,30
12099,2228,15,30
12106,2097,25,16
12113,2246,15,30
12114,2437,10,30
12117,2126,25,14
12118,2369,15,30
12119,2205,15,30
12121,2295,15,30
12129,2137,15,30
12138,2239,15,30
12139,2220,25,26
12144,2260,15,30
12148,2298,15,30
12152,2188,25,17
12156,2339,15,30
12162,2285,15,30
12163,2110,25,20
12173,2284,15,30
12176,2116,25,10
12178,2043,15,30
12183,2143,15,30
12184,2380,15,30
12187,2087,15,30
12192,2255,15,30
12194,2244,15,30
12195,2444,10,30
12201,2237,15,30
12209,2367,10,30
12210,2115,15,30
12216,2240,15,30
12224,2389,15,30
12229,2195,15,30
12238,2159,15,30
12246,2138,15,30
12253,2146,15,30
12255,2067,15,30
12258,2064,25,16
12260,2198,25,20
12267,2138,15,30
12272,2051,25,10
12276,2308,15,30
12285,2229,15,30
12290,2206,15,30
12292,2364,10,30
12297,2180,25,9
12298,2224,15,30
12299,2373,25,16
12303,2100,15,30
12310,2114,15,30
12319,2245,15,30
12320,2317,25,25
12325,2260,15,30
12333,2123,25,13
12335,2408,10,30
12340,2267,15,30
12341,2243,15,30
12348,2383,10,30
12358,2094,15,30
12372,2358,15,30
12379,2032,15,30
12382,2199,15,30
12383,2421,10,30
12384,2041,15,30
12385,2094,25,10
12390,2181,15,30
12396,2306,15,30
12405,2341,15,30
12408,2298,15,30
12419,2327,15,30
12430,2233,15,30
12433,2438,10,30
12436,2251,15,30
12442,2110,15,30
12444,2120,25,19
12446,2124,25,16
12447,2437,10,30
12458,2338,15,30
12463,2274,15,30
12465,2270,25,24
12468,2244,25,23
12469,2258,15,30
12476,2049,25,20
12478,2150,25,14
12479,2487,10,30
12482,2179,25,9
12485,2206,15,30
12486,2296,15,30
12492,2319,15,30
12497,2238,15,30
12500,2213,15,30
12502,2148,25,24
12514,2129,15,30
12515,2220,15,30
12516,2170,15,30
12518,2440,10,30
12520,2111,15,30
12523,2170,15,30
12541,2291,15,30
12545,2031,15,30
12555,2118,15,30
12558,2157,15,30
12567,2422,10,30
12574,2158,25,19
12578,2219,15,30
12580,2164,25,26
12581,2185,15,30
12582,2048,15,30
12583,2223,25,16
12589,2182,25,15
12594,2236,15,30
12595,2241,15,30
12609,2249,15,30
12614,2150,25,23
12621,2221,15,30
12625,2366,10,30
12626,2249,25,12
12630,2173,15,30
12638,2247,15,30
12641,2239,25,22
12644,2163,15,30
12647,2194,25,15
12656,2083,25,11
12659,2265,15,30
12660,2115,15,30
12674,2112,15,30
12678,2212,25,9
12682,2168,25,29
12683,2120,15,30
12684,2294,25,25
12686,2288,15,30
12689,2175,15,30
12690,2402,10,30
12691,2316,10,30
12697,2418,10,30
12703,2333,15,30
12709,2242,25,10
12710,2236,15,30
12714,2150,15,30
12725,2291,15,30
12730,2344,10,30
12736,2634,10,30
12738,2125,15,30
12739,2284,15,30
12748,2268,15,30
12749,2317,15,30
12750,2026,15,30
12752,2209,15,30
12753,2232,15,30
12762,2180,25,21
12763,2101,25,17
12764,2067,25,10
12767,2112,25,20
12773,2205,15,30
12776,2213,15,30
12780,2269,25,18
12784,2182,15,30
12786,2237,15,30
12791,2135,15,30
12796,2134,15,30
12797,2335,15,30
12800,2172,15,30
12802,2116,15,30
12807,2030,25,15
12811,2212,15,30
12813,2179,15,30
12815,2248,15,30
12818,2393,10,30
12824,2202,15,30
12827,2176,15,30
12830,2311,15,30
12834,2068,15,30
12846,2242,10,30
12853,2235,15,30
12855,2404,10,30
12863,2032,15,30
12864,2185,15,30
12868,2284,10,30
12870,2180,25,20
12873,2361,15,30
12880,2021,25,28
12888,2341,25,15
12892,2384,10,30
12897,2041,25,12
12898,2150,15,30
12906,2146,15,30
12907,2168,15,30
12915,2284,15,30
12933,2297,15,30
12941,2480,10,30
12946,2088,25,24
12952,2434,10,30
12953,2211,15,30
12954,2254,15,30
12956,2195,15,30
12958,2195,15,30
12963,2295,25,21
12964,2084,25,13
12966,2093,15,30
12970,2488,10,30
12983,2377,10,30
12985,2149,25,22
12990,2206,15,30
12995,2187,25,19
13005,2230,15,30
13009,2182,25,21
13016,2245,15,30
13024,2122,15,30
13026,2461,10,30
13027,2251,15,30
13031,2216,15,30
13032,2329,15,30
13043,2113,25,26
13044,2153,15,30
13051,2258,15,30
13059,2005,25,18
13065,2116,15,30
13070,2089,15,30
13071,2113,15,30
13074,2223,15,30
13077,2210,15,30
13079,2377,10,30
13084,2098,15,30
13088,2527,10,30
13113,2061,25,15
13115,2318,15,30
13117,2376,15,30
13122,2360,15,30
13127,2161,15,30
13129,2235,15,30
13144,2523,10,30
13145,2342,15,30
13156,2376,15,30
13160,2279,15,30
13163,2411,10,30
13172,2153,15,30
13180,2156,15,30
13181,2321,15,30
13182,2418,10,30
13184,2204,15,30
13192,2148,15,30
13195,2139,15,30
13196,2185,25,10
13199,2074,25,25
13201,2236,15,30
13205,2352,15,30
13210,2428,10,30
13214,2395,10,30
13216,2272,15,30
13219,2283,15,30
13220,2019,15,30
13221,2230,25,14
13228,2193,15,30
13230,2227,15,30
13231,2273,15,30
13232,2113,25,19
13238,2306,15,30
13240,2007,15,30
13252,2424,10,30
13259,2212,15,30
13269,2484,10,30
13273,2293,15,30
13278,2166,15,30
13284,2315,15,30
13291,2122,15,30
13296,2228,25,18
13304,2047,25,17
13308,2361,10,30
13325,2134,15,30
13331,2208,15,30
13335,2205,15,30
13339,2119,25,12
13345,2224,15,30
13348,2201,15,30
13357,2061,15,30
13362,2311,15,30
13368,2283,15,30
13370,2266,15,30
13371,2244,15,30
13372,2243,15,30
13377,2105,25,17
13379,2204,15,30
13385,2197,15,30
13392,2193,15,30
13393,2197,15,30
13396,2364,15,30
13401,2256,15,30
13402,2252,15,30
13403,2277,15,30
13406,2029,15,30
13407,2219,15,30
13413,2213,15,30
13418,2390,10,30
13421,2161,15,30
13425,2151,15,30
13427,2148,25,17
13428,2262,15,30
13436,2345,10,30
13462,2136,15,30
13463,2300,15,30
13469,2121,15,30
13470,2031,25,14
13474,2157,25,9
13478,2513,10,30
13480,2411,10,30
13482,2190,25,13
13484,2171,15,30
13487,2278,15,30
13498,2230,25,24
13503,2114,25,14
13504,2145,15,30
13506,2287,15,30
13509,2031,15,30
13525,2189,15,30
13530,2379,10,30
13538,2301,15,30
13542,2311,15,30
13544,2186,15,30
13546,2066,25,17
13548,2205,25,16
13568,2234,15,30
13569,2156,15,30
13572,2047,25,18
13581,2236,15,30
13583,2168,15,30
13587,2212,15,30
13590,2100,25,15
13593,2185,15,30
13596,2197,15,30
13599,2332,15,30
13605,2442,10,30
13609,2121,15,30
13625,2134,15,30
13626,2190,25,18
13628,2231,15,30
13631,2190,15,30
13634,2153,25,20
13651,2128,15,30
13654,2348,10,30
13655,2178,15,30
13659,2442,10,30
13673,2302,25,19
13685,2072,25,25
13692,2077,15,30
13694,2200,25,19
13715,2337,10,30
13719,2288,15,30
13727,2194,15,30
13733,2166,15,30
13734,2149,15,30
13736,2538,10,30
13751,2408,10,30
13758,2255,15,30
13765,2161,15,30
13766,2162,15,30
13769,2498,10,30
13774,2345,10,30
13777,2294,15,30
13782,2335,15,30
13789,2300,15,30
13790,2083,15,30
13796,2213,15,30
13798,2433,10,30
13808,2128,25,17
13810,2168,25,13
13812,2262,15,30
13821,2359,15,30
13825,2235,25,25
13826,2169,15,30
13843,2424,10,30
13846,2074,15,30
13851,2120,15,30
13855,2298,15,30
13857,2236,15,30
13858,2189,25,19
13862,2313,10,30
13868,2306,15,30
13879,2190,15,30
13884,2510,10,30
13890,2206,25,17
13891,2106,25,11
13894,2392,10,30
13900,2189,15,30
13903,2300,15,30
13911,2171,15,30
13922,2361,15,30
13923,2150,15,30
13929,2201,15,30
13933,2276,15,30
13941,2269,15,30
13947,2260,15,30
13952,2137,25,15
13955,2346,15,30
13957,2317,15,30
13958,2324,10,30
13964,2384,15,30
13966,2127,15,30
13968,2216,15,30
13977,2241,25,29
13981,2208,25,21
13988,2190,15,30
13991,2263,25,9
13997,2505,10,30
14001,2170,25,21
14015,2226,15,30
14018,2490,10,30
14022,2178,15,30
14030,2047,15,30
14031,2187,15,30
14033,2260,15,30
14039,2529,10,30
14040,2138,15,30
14059,2039,15,30
14063,2185,15,30
14068,2315,15,30
14075,2209,25,16
14084,2302,15,30
14085,2191,15,30
14087,2100,15,30
14094,2248,15,30
14104,2400,10,30
14107,2201,25,29
14134,2107,15,30
14135,2424,10,30
14136,2217,25,14
14144,2127,15,30
14147,2268,15,30
14151,2478,10,30
14157,2222,15,30
14159,2194,15,30
14161,2355,15,30
14167,2341,15,30
14169,2238,15,30
14172,2237,15,30
14173,2130,15,30
14175,2427,10,30
14179,2181,15,30
14187,2193,25,13
14196,2213,15,30
14199,2209,15,30
14200,2308,15,30
14208,2212,25,24
14209,2251,15,30
14213,2136,25,15
14219,2341,15,30
14223,2164,15,30
14225,2130,15,30
14226,2117,25,19
14227,2257,15,30
14229,2230,15,30
14232,2275,15,30
14233,2310,25,24
14238,2207,15,30
14240,2352,15,30
14245,2353,15,30
14246,2252,15,30
14247,2143,15,30
14249,2186,25,18
14251,2029,15,30
14252,2519,10,30
14253,2173,15,30
14255,2290,25,25
14262,2192,15,30
14276,2131,15,30
14280,2454,10,30
14284,2165,25,15
14288,2383,15,30
14295,2238,15,30
14296,2111,15,30
14298,2146,25,11
14303,2281,15,30
14305,2157,15,30
14314,2244,15,30
14315,2174,15,30
14318,2180,15,30
14323,2067,25,11
14330,2295,15,30
14340,2316,15,30
14341,2232,25,19
14345,2184,15,30
14346,2167,15,30
14349,2233,15,30
14354,2211,15,30
14358,2395,10,30
14359,2213,15,30
14366,2191,15,30
14372,2313,25,10
14373,2276,15,30
14380,2093,25,13
14389,2493,10,30
14397,2586,10,30
14416,2417,10,30
14417,2389,10,30
14423,2261,25,9
14424,2420,10,30
14426,2137,15,30
14435,2152,15,30
14440,2238,15,30
14451,2204,15,30
14453,2393,10,30
14455,2350,15,30
14458,2366,15,30
14459,2073,15,30
14469,2400,10,30
14471,2170,15,30
14476,2231,15,30
14482,2152,15,30
14486,2169,15,30
14487,2121,15,30
14489,2272,15,30
14494,2118,15,30
14501,2176,25,19
14502,2198,15,30
14507,2414,10,30
14510,2255,15,30
14511,2085,15,30
14515,2245,15,30
14517,2063,25,25
14520,2187,15,30
14524,2227,15,30
14525,2157,15,30
14534,2395,10,30
14535,2174,15,30
14536,2413,10,30
14537,2207,25,13
14541,2146,15,30
14542,2290,15,30
14543,2138,15,30
14544,2207,25,24
14545,2196,15,30
14552,2207,15,30
14557,2206,15,30
14561,2263,15,30
14562,2253,15,30
14564,2206,25,9
14574,2071,15,30
14575,2271,15,30
14589,2139,15,30
14600,2364,10,30
14608,2205,25,18
14609,2269,15,30
14613,2324,15,30
14614,2226,15,30
14616,2105,25,25
14622,2250,15,30
14625,2159,15,30
14631,2205,15,30
14633,2246,15,30
14636,2514,10,30
14638,2218,25,12
14641,2345,10,30
14647,2228,15,30
14649,2311,15,30
14656,2676,10,30
14657,2286,15,30
14662,2263,25,20
14664,2384,10,30
14668,2136,25,9
14672,2443,10,30
14674,2020,25,9
14676,2335,15,30
14678,2190,15,30
14679,2232,15,30
14681,2159,25,28
14686,2413,15,30
14694,2287,15,30
14704,2224,25,18
14707,2251,15,30
14711,2259,15,30
14716,2274,15,30
14721,2322,15,30
14737,2440,10,30
14747,2206,15,30
14754,2106,15,30
14757,2496,10,30
14764,2394,10,30
14786,2139,15,30
14794,2308,15,30
14802,2152,15,30
14809,2111,25,16
14810,2136,25,24
14811,2235,15,30
14814,2044,15,30
14826,2210,15,30
14827,2236,15,30
14829,2245,15,30
14834,2198,15,30
14836,2182,15,30
14838,2212,15,30
14839,2259,15,30
14840,2067,25,21
14841,2169,15,30
14846,2191,25,13
14849,2361,15,30
14852,2313,15,30
14856,2096,15,30
14857,2283,15,30
14860,2221,15,30
14869,2060,15,30
14871,2315,15,30
14875,2128,15,30
14878,2034,15,30
14879,2197,15,30
14882,2200,25,10
14898,2306,15,30
14901,2233,25,19
14912,2161,15,30
14917,2209,15,30
14918,2162,15,30
14923,2344,15,30
14926,2236,15,30
14928,2109,15,30
14931,2353,15,30
14944,2269,15,30
14955,2233,15,30
14960,2302,10,30
14966,2163,25,19
14969,2078,25,18
14978,2493,10,30
14980,2212,25,23
14991,2281,15,30
15000,2093,15,30
15008,2297,15,30
15013,2095,15,30
15024,2265,15,30
15029,2323,10,30
15032,2179,15,30
15033,2020,15,30
15035,2344,15,30
15037,2279,15,30
15039,2168,15,30
15040,2316,15,30
15041,2028,15,30
15049,2216,15,30
15052,2240,15,30
15053,2192,25,23
15062,2156,15,30
15066,2175,25,14
15067,2091,15,30
15069,2295,15,30
15073,2285,15,30
15086,2385,10,30
15095,2329,15,30
15099,2231,25,14
15103,2286,15,30
15107,2165,15,30
15120,2048,25,27
15122,2352,15,30
15127,2174,25,25
15136,2172,25,22
15142,2087,25,16
15145,2081,25,13
15148,2166,15,30
15149,2232,15,30
15151,2188,15,30
15153,2182,15,30
15162,2331,15,30
15168,2327,15,30
15169,2270,15,30
15175,2218,15,30
15177,2068,25,22
15178,2312,15,30
15194,2080,15,30
15195,2020,15,30
15202,2206,15,30
15209,2105,15,30
15212,2326,10,30
15219,2593,10,30
15221,2288,25,15
15232,2504,10,30
15234,2099,15,30
15241,2422,10,30
15242,2179,25,22
15249,2168,15,30
15251,2227,15,30
15254,2393,15,30
15263,2289,15,30
15268,2350,15,30
15276,2194,15,30
15278,2212,15,30
15279,2300,15,30
15289,2042,15,30
15297,2203,15,30
15301,2186,15,30
15305,2093,15,30
15308,2384,10,30
15309,2150,15,30
15315,2300,15,30
15316,2401,15,30
15321,2555,10,30
15328,2222,15,30
15334,2387,10,30
15336,2121,15,30
15342,2214,25,22
15344,2216,15,30
15346,2211,15,30
15348,2074,15,30
15350,2265,15,30
15352,2285,15,30
15357,2515,10,30
15365,2046,15,30
15366,2138,15,30
15369,2216,15,30
15370,2262,15,30
15371,2351,15,30
15384,2163,15,30
15389,2233,15,30
15400,2179,25,19
15412,2203,15,30
15414,2117,25,29
15418,2324,15,30
15423,2269,15,30
15433,2252,15,30
15434,2231,15,30
15441,2265,15,30
15444,2443,10,30
15446,2033,15,30
15450,2261,15,30
15452,2131,25,13
15456,2112,15,30
15461,2134,25,14
15462,2550,10,30
15472,2455,10,30
15473,2080,15,30
15480,2109,25,9
15482,2189,15,30
15483,2216,15,30
15489,2278,15,30
15495,2270,25,26
15496,2403,25,20
15503,2195,15,30
15517,2147,15,30
15519,2221,15,30
15524,2451,10,30
15529,2306,15,30
15530,2059,15,30
15531,2244,15,30
15536,2303,15,30
15537,2260,25,20
15540,2172,15,30
15553,2295,15,30
15568,2250,15,30
15573,2191,25,15
15588,2264,15,30
15590,2212,15,30
15601,2386,10,30
15619,2047,25,13
15622,2119,15,30
15629,2376,15,30
15631,2293,15,30
15637,2073,25,27
15638,2179,25,21
15639,2255,15,30
15640,2439,10,30
15647,2228,15,30
15650,2166,15,30
15653,2298,15,30
15656,2324,15,30
15667,2278,15,30
15674,2305,15,30
15676,2455,10,30
15688,2317,15,30
15692,2173,15,30
15698,2220,25,20
15699,2135,15,30
15701,2218,15,30
15703,2128,15,30
15706,2287,15,30
15707,2245,15,30
15712,2299,15,30
15716,2238,15,30
15717,2424,10,30
15721,2218,15,30
15723,2191,25,13
15729,2193,15,30
15733,2127,25,21
15739,2370,15,30
15741,2044,25,20
15742,2418,10,30
15743,2051,15,30
15745,2167,15,30
15746,2491,10,30
15748,2406,10,30
15754,2287,15,30
15755,2120,15,30
15758,2193,15,30
15760,2007,25,27
15761,2141,15,30
15766,2174,15,30
15770,2370,10,30
15773,2141,15,30
15781,2221,15,30
15787,2249,15,30
15791,2082,25,10
15799,2360,15,30
15800,2252,15,30
15801,2442,10,30
15803,2203,25,25
15807,2055,25,13
15813,2029,25,9
15830,2034,15,30
15831,2137,25,21
15841,2250,15,30
15847,2112,15,30
15849,2197,25,15
15851,2239,25,28
15855,2054,25,11
15856,2291,15,30
15860,2153,15,30
15867,2282,15,30
15868,2164,25,16
15869,2285,15,30
15871,2190,15,30
15878,2187,25,13
15882,2070,15,30
15886,2166,15,30
15890,2276,15,30
15891,2032,15,30
15893,2195,15,30
15896,2254,25,14
15898,2360,15,30
15903,2400,10,30
15906,2270,15,30
15910,2403,10,30
15915,2308,15,30
15919,2070,25,18
15920,2097,15,30
15926,2153,25,15
15932,2227,15,30
15935,2254,25,29
15944,2206,25,23
15950,2161,25,29
15951,2195,15,30
15961,2304,15,30
15963,2329,15,30
15967,2321,15,30
15969,2087,15,30
15981,2352,15,30
15982,2252,15,30
15983,2322,15,30
15990,2422,10,30
15991,2197,15,30
15992,2134,25,9
15993,2163,15,30
15998,2153,15,30
16000,2346,15,30
16002,2109,15,30
16008,2135,15,30
16015,2221,15,30
16016,2175,15,30
16021,2291,15,30
16026,2309,15,30
16029,2161,25,18
16033,2030,15,30
16036,2285,15,30
16039,2125,25,22
16041,2370,15,30
16044,2134,15,30
16053,2589,10,30
16055,2552,10,30
16056,2368,15,30
16058,2163,15,30
16059,2235,15,30
16060,2169,15,30
16075,2263,15,30
16076,2205,15,30
16081,2177,25,14
16082,2219,25,29
16083,2423,10,30
16091,2201,15,30
16096,2206,15,30
16099,2372,10,30
16101,2316,10,30
16110,2061,15,30
16112,2288,15,30
16115,2223,15,30
16123,2220,25,15
16131,2365,15,30
16133,2325,10,30
16134,2228,15,30
16137,2562,10,30
16147,2357,15,30
16149,2471,10,30
16153,2213,15,30
16178,2380,15,30
16180,2405,10,30
16181,2519,10,30
16182,2207,15,30
16183,2182,15,30
16188,2156,15,30
16196,2119,15,30
16198,2304,15,30
16199,2221,25,14
16200,2099,15,30
16205,2285,15,30
16212,2297,25,21
16214,2073,15,30
16223,2213,25,20
16225,2272,15,30
16231,2163,15,30
16238,2198,25,19
16244,2368,15,30
16247,2346,15,30
16264,2287,15,30
16265,2312,15,30
16284,2492,10,30
16286,2228,15,30
16294,2082,25,24
16295,2218,15,30
16297,2104,15,30
16300,2226,15,30
16305,2042,15,30
16306,2381,10,30
16307,2213,25,12
16308,2193,15,30
16315,2076,25,23
16317,2293,15,30
16320,2253,15,30
16323,2194,25,19
16324,2065,15,30
16330,2269,15,30
16343,2275,15,30
16345,2075,15,30
16354,2183,15,30
16355,2251,25,20
16367,2085,15,30
16374,2403,10,30
16377,2251,15,30
16378,2333,15,30
16382,2331,15,30
16388,2168,15,30
16389,2209,25,12
16404,2017,25,11
16405,2188,25,19
16407,2229,15,30
16414,2186,15,30
16418,2124,15,30
16420,2081,25,19
16425,2271,25,25
16432,2252,15,30
16434,2002,25,9
16439,2123,15,30
